Day,Citric_0,H_Citric_1,H_Citric_2,H_Citric_3,H_Sc_goethite,Sc_aqueous,H_H2O
0,22.6120142,0,0,0,0.01058658,0.0310175,1
1,22.8121315,0,0,0,0,0.505,0
2,23.1787002,0,0,0,0,0.35515,0
3,23.051194,0,0,0,0,0.19065,0
4,22.9304781,0,0,0,0,0.11805,0
8,28.7363901,0,0,0,0,0.0376825,0
10,31.6283047,0,0,0,0,0.0229125,0
14,21.4120074,0,0,0,0,0.02342,0
16,14.2741897,0,0,0,0,0.021695,0
