(C2O4)2-
Al2O3
Al3+
C2H2O4
C2H2O4-
C6H7O7-
C6H8O7
Ca2+
CaO
Fe2O3
Fe3+
Sc3+
ScO(OH)
Ti4+
TiO2
Y2O3
Y3+
